Trading Name,SGXCode
ABR,533.SI
Advancer Global,43Q.SI
AEM,AWX.SI
AIMS APAC Reit,O5RU.SI
AP Oil,5AU.SI
Ascendas-iTrust,CY6U.SI
Asian Pay Tv Tr,S7OU.SI
Avi-Tech,BKY.SI
Ban Leong,B26.SI
BHG Retail Reit,BMGU.SI
Boustead,F9D.SI
Boustead Proj,AVM.SI
BRC Asia,BEC.SI
Brook Crompton,AWC.SI
Bukit Sembawang,B61.SI
Bumitama Agri,P8Z.SI
Bund Center,BTE.SI
CapitaCom Trust,C61U.SI
CapitaMall Trust,C38U.SI
CapitaR China Tr,AU8U.SI
CDL HTrust,J85.SI
Centurion,OU8.SI
Challenger,573.SI
Chasen,5NV.SI
Chemical Ind,C05.SI
China Everbright,U9E.SI
CityDev,C09.SI
Civmec,P9D.SI
CNMC Goldmine,5TP.SI
Colex,567.SI
ComfortDelGro,C52.SI
Cortina,C41.SI
CosmoSteel,B9S.SI
CromwellReit EUR,CNNU.SI
CSE Global,544.SI
DBS,D05.SI
Delfi,P34.SI
Dutech,CZ4.SI
Duty Free Intl,5SO.SI
Dynamic Colours,D6U.SI
EC World Reit,BWCU.SI
Elec & Eltek USD,E16.SI
F & N,F99.SI
Far East HTrust,Q5T.SI
Far East Orchard,O10.SI
First Resources,EB5.SI
First Sponsor,ADN.SI
Food Empire,F03.SI
Fragrance,F31.SI
Frasers HTrust,ACV.SI
Frasers L&I Tr,BUOU.SI
Frasers Property,TQ5.SI
Frencken,E28.SI
Fu Yu,F13.SI
G K Goh,G41.SI
Genting Sing,G13.SI
GL,B16.SI
Global Inv,B73.SI
Golden Agri-Res,E5H.SI
GP Industries,G20.SI
Grand Banks,G50.SI
Great Eastern,G07.SI
GuocoLand,F17.SI
Hafary,5VS.SI
Hanwell,DM0.SI
Hatten Land,PH0.SI
Haw Par,H02.SI
HC Surgical,1B1.SI
Heeton,5DP.SI
Hiap Hoe,5JK.SI
Hiap Tong,5PO.SI
Hi-P,H17.SI
Ho Bee Land,H13.SI
Hock Lian Seng,J2T.SI
Hong Fok,H30.SI
Hong Lai Huat,CTO.SI
Hong Leong Asia,H22.SI
Hotel Royal,H12.SI
Hotung Inv,BLS.SI
HPH Trust USD,NS8U.SI
HRnetGroup,CHZ.SI
Hwa Hong,H19.SI
IFAST,AIY.SI
IFS Capital,I49.SI
InnoTek,M14.SI
IREIT Global,UD1U.SI
ISDN,I07.SI
ISEC,40T.SI
ISOTeam,5WF.SI
Japan Foods,5OI.SI
Jardine C&C,C07.SI
Jason Marine,5PF.SI
JB Foods,BEW.SI
Jumbo,42R.SI
Karin Tech,K29.SI
Keong Hong,5TT.SI
Kep Infra Tr,A7RU.SI
KepPacOakReitUSD,CMOU.SI
Keppel Corp,BN4.SI
Keppel DC Reit,AJBU.SI
Keppel Reit,K71U.SI
Kimly,1D0.SI
Koyo Intl,5OC.SI
KSH,ER0.SI
LHN,41O.SI
LHT,BEI.SI
Lian Beng,L03.SI
Low Keng Huat,F1E.SI
Lum Chang,L19.SI
ManulifeReit USD,BTOU.SI
Mapletree Com Tr,N2IU.SI
Mapletree Ind Tr,ME8U.SI
Mapletree NAC Tr,RW0U.SI
Maxi-Cash Fin,5UF.SI
Metro,M01.SI
Mewah Intl,MV4.SI
Micro-Mechanics,5DD.SI
MindChamps,CNE.SI
MoneyMax Fin,5WJ.SI
Multi-Chem,AWZ.SI
Nam Lee Metal,G0I.SI
Neo,5UJ.SI
NeraTel,N01.SI
NetLink NBN Tr,CJLU.SI
Nordic,MR7.SI
OCBC Bank,O39.SI
Olam Intl,O32.SI
Old Chang Kee,5ML.SI
Ossia Intl,O08.SI
OUE,LJ3.SI
OUE Com Reit,TS0U.SI
Overseas Edu,RQ1.SI
Oxley,5UX.SI
Pacific Century,P15.SI
PanUnited,P52.SI
ParkwayLife Reit,C2PU.SI
PEC,IX2.SI
PNE Industries,BDA.SI
Powermatic Data,BCY.SI
Q&M Dental,QC7.SI
QAF,Q01.SI
Raffles Medical,BSL.SI
Riverstone,AP4.SI
Sabana Reit,M1GU.SI
SATS,S58.SI
SBS Transit,S61.SI
Second Chance,528.SI
Secura,43B.SI
Sembcorp Ind,U96.SI
Serial System,S69.SI
SGX,S68.SI
Sheng Siong,OV8.SI
SIA,C6L.SI
SIA Engineering,S59.SI
SIIC Environment,BHK.SI
Silverlake Axis,5CP.SI
Sin Ghee Huat,B7K.SI
Sinarmas Land,A26.SI
SingReinsurance,S49.SI
SingShipping,S19.SI
Singtel,Z74.SI
Sinostar Pec,C9Q.SI
SK Jewellery,42G.SI
Soup Restaurant,5KI.SI
SPH,T39.SI
SPHREIT,SK6U.SI
Spindex Ind,564.SI
Spura Finance,S23.SI
ST Engineering,S63.SI
Stamford Land,H07.SI
StarhillGbl Reit,P40U.SI
Straco,S85.SI
Straits Trading,S20.SI
Sunningdale Tech,BHQ.SI
Sunpower,5GD.SI
Suntec Reit,T82U.SI
SUTL Enterprise,BHU.SI
Tai Sin Electric,500.SI
TalkMed,5G3.SI
Tat Seng Pkg,T12.SI
Teckwah,561.SI
TeleChoice Intl,T41.SI
ThaiBev,Y92.SI
Thakral,AWI.SI
TheHourGlass,AGS.SI
Tiong Seng,BFI.SI
Tiong Woon,BQM.SI
TLV,42L.SI
TTJ,K1Q.SI
Tuan Sing,T24.SI
UMS,558.SI
Uni-Asia Grp,CHJ.SI
UOB,U11.SI
UOB Kay Hian,U10.SI
UOI,U13.SI
ValueMax,T6I.SI
Valuetronics,BN2.SI
Venture,V03.SI
Vibrant Group,BIP.SI
VICOM,V01.SI
Vicplas Intl,569.SI
Wee Hur,E3B.SI
Wilmar Intl,F34.SI
Wing Tai,W05.SI
Wong Fong Ind,1A1.SI
Yeo Hiap Seng,Y03.SI
YZJ Shipbldg SGD,BS6.SI
